suburb,postcode,lga,latitude,longitude,irsd_score,irsd_decile,ier_score,ier_decile,ieo_score,ieo_decile,medianPrice,growth1yr,crimeRate,schoolRating,schoolCount,primarySchools,secondarySchools,primaryCommuteMinutes,secondaryCommuteMinutes,rentalYield,transitScore,walkScore,parksDensity,childcareCenters,shoppingCenters,cafesRestaurants,medicalCenters,bikeScore,category
Abbotsford,3067,Yarra,-37.8021095,145.0019064,1077,9,951,3,1163,10,1250000,-7,538.29,60.0,0,0,0,0,0,4,76,85,3,3,2,10,2,50,INNER METRO
Albanvale,3021,,-37.7459531,144.7700614,961,3,1006,6,971,5,0,0.0,100.0,60.0,0,0,0,0,0,4,36,41,3,3,2,10,2,50,OUTER GROWTH
Albert Park,3206,Port Phillip,-37.8460268,144.9584302,1084,9,996,5,1160,10,2300000,7.68,519.82,60.0,0,0,0,0,0,4,66,87,3,3,2,10,2,50,BAYSIDE
Albion,3020,Brimbank,-37.7756888,144.8154041,1078,9,967,4,1113,9,765000,-8,344.52,60.0,0,0,0,0,0,4,47,34,3,3,2,10,2,50,OUTER GROWTH
Altona,3018,Hobsons Bay,-37.8645245,144.8309509,1040,7,1007,6,1054,8,1135000,-4,274.49,60.0,0,0,0,0,0,4,53,82,3,3,2,10,2,50,BAYSIDE
Altona Meadows,3028,Hobsons Bay,-37.8715626,144.7775818,983,4,978,4,968,5,690000,-7,274.49,60.0,0,0,0,0,0,4,48,74,3,3,2,10,2,50,OUTER GROWTH
Altona North,3025,Hobsons Bay,-37.8388686,144.8346241,968,3,963,3,1011,6,880500,-7,274.49,60.0,0,0,0,0,0,4,41,6,3,3,2,10,2,50,INNER METRO
Ardeer,3022,Brimbank,-37.7776716,144.7988921,903,2,894,1,970,5,628500,-8,100.0,60.0,0,0,0,0,0,4,47,22,3,3,2,10,2,50,OUTER GROWTH
Arthurs Seat,3936,Mornington Peninsula,-38.3542356,144.9556145,997,5,989,5,962,5,1450000,-2.5,187.39,60.0,0,0,0,67,21,4,50,10,3,3,2,10,2,50,BAYSIDE
Ascot Vale,3032,Moonee Valley,-37.7745085,144.9278026,1015,6,981,4,1093,9,1300500,-2,316.22,60.0,0,0,0,0,0,4,72,90,3,3,2,10,2,50,INNER METRO
Aspendale,3195,Kingston,-38.0196821,145.0988172,1080,9,1108,10,1054,8,1272500,-5.04,253.59,91.0,2,1,1,46,60,4,41,49,3,3,2,10,2,50,BAYSIDE
Aspendale Gardens,3195,Kingston,-38.0231393,145.1178025,1080,9,1108,10,1054,8,1230000,8.01,253.59,91.0,2,1,1,41,55,4,34,46,3,3,2,10,2,50,OUTER GROWTH
Attwood,3049,Hume,-37.6697809,144.8855923,997,5,1031,7,973,5,950000,-4,100.0,60.0,0,0,0,0,0,4,36,34,3,3,2,10,2,50,OUTER GROWTH
Avondale Heights,3034,Moonee Valley,-37.7628247,144.8648709,1008,5,1016,6,1003,6,936000,-5,316.22,60.0,0,0,0,0,0,4,45,59,3,3,2,10,2,50,INNER METRO
Badger Creek,3777,Yarra Ranges,-37.6812591,145.5321371,1054,7,1060,9,1049,7,732500,2,100.0,60.0,0,0,0,0,0,4,50,15,3,3,2,10,2,50,HILLS & RANGES
Balwyn,3103,Boroondara,-37.8128937,145.0813238,1064,8,1040,8,1142,10,2905000,-1.66,241.83,60.0,0,0,0,15,83,4,55,93,3,3,2,10,2,50,INNER METRO
Balwyn North,3104,Boroondara,-37.7941151,145.0879338,1075,9,1078,9,1127,9,2302500,-2.77,241.83,60.0,0,0,0,11,79,4,54,66,3,3,2,10,2,50,INNER METRO
Bangholme,3175,Greater Dandenong,-38.0453436,145.1702424,1045,7,1026,7,1027,7,850000,3.2,410.21,89.0,8,5,2,38,53,4,0,0,3,3,2,10,2,50,OUTER GROWTH
Bayswater,3153,Knox,-37.8426014,145.2704817,1004,5,985,4,998,6,887000,4.05,243.52,60.0,0,0,0,23,73,4,48,74,3,3,2,10,2,50,HILLS & RANGES
Bayswater North,3153,Knox,-37.8259876,145.2874972,1029,6,1032,7,991,6,901000,3.56,243.52,60.0,0,0,0,24,76,4,38,41,3,3,2,10,2,50,HILLS & RANGES
Beaconsfield,3807,Cardinia,-38.0478022,145.3699169,1082,9,983,4,1144,10,982500,-2.72,186.09,60.0,0,0,0,50,75,4,61,76,3,3,2,10,2,50,HILLS & RANGES
Beaconsfield Upper,3808,Cardinia,-38.0048693,145.4094742,1065,8,1035,7,1064,8,1302500,-22.12,115.14,60.0,0,0,0,54,79,4,50,31,3,3,2,10,2,50,HILLS & RANGES
Beaumaris,3193,Bayside,-37.9825379,145.0418067,1108,10,1107,10,1129,10,2080000,4.0,243.49,60.0,0,0,0,52,67,4,38,67,3,3,2,10,2,50,BAYSIDE
Belgrave,3160,Yarra Ranges,-37.9112468,145.3571402,1072,9,1086,9,1057,8,799000,-6.14,131.08,60.0,0,0,0,39,79,4,48,66,3,3,2,10,2,50,HILLS & RANGES
Belgrave Heights,3160,Yarra Ranges,-37.9244173,145.3479199,1071,9,1075,9,1054,8,988000,5.47,131.08,60.0,0,0,0,41,77,4,23,37,3,3,2,10,2,50,HILLS & RANGES
Belgrave South,3160,Yarra Ranges,-37.930598,145.3595275,1072,9,1080,9,1056,8,960250,6.98,0.0,60.0,0,0,0,42,75,4,23,44,3,3,2,10,2,50,HILLS & RANGES
Bellfield,3081,Banyule,-37.7534944,145.0394197,791,1,902,1,886,1,944000,-2,252.91,60.0,0,0,0,0,0,4,50,75,3,3,2,10,2,50,INNER METRO
Bentleigh,3204,Glen Eira,-37.9188435,145.0417166,1069,9,1042,8,1115,9,1690000,-2,221.37,60.0,0,0,0,0,0,4,53,94,3,3,2,10,2,50,OUTER GROWTH
Bentleigh East,3165,Glen Eira,-37.9174873,145.0658766,1067,9,1051,8,1097,9,1430000,-4,221.37,60.0,0,0,0,0,0,4,47,60,3,3,2,10,2,50,OUTER GROWTH
Berwick,3806,Casey,-38.0264207,145.3475331,1057,8,1053,8,1025,7,880000,1.15,227.98,92.6,11,5,4,47,71,4,41,77,3,3,2,10,2,50,HILLS & RANGES
Beveridge,3753,Mitchell,-37.4822825,144.9832134,986,4,1028,7,965,4,650000,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,OUTER GROWTH
Big Pats Creek,3799,Yarra Ranges,-37.7645012,145.7510159,1062,8,1069,9,1059,7,0,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,HILLS & RANGES
Bittern,3918,Mornington Peninsula,-38.3388408,145.1761518,1042,7,1042,8,1013,6,850000,2,100.0,60.0,0,0,0,0,0,4,27,36,3,3,2,10,2,50,OUTER GROWTH
Black Rock,3193,Bayside,-37.9809272,145.0328017,1094,10,1068,9,1136,10,2280000,-6.94,243.49,60.0,0,0,0,54,70,4,36,78,3,3,2,10,2,50,BAYSIDE
Blackburn,3130,Whitehorse,-37.8197129,145.1530529,1069,9,1040,8,1105,9,1618000,3.65,235.08,60.0,0,0,0,13,77,4,64,90,3,3,2,10,2,50,OUTER GROWTH
Blackburn North,3130,Whitehorse,-37.8064051,145.1586444,1056,8,1042,8,1089,8,1320000,3.13,235.08,60.0,0,0,0,9,74,4,52,47,3,3,2,10,2,50,OUTER GROWTH
Blackburn South,3130,Whitehorse,-37.8388667,145.151231,1054,8,1024,7,1092,9,1395000,2.57,235.08,60.0,0,0,0,17,76,4,41,58,3,3,2,10,2,50,OUTER GROWTH
Blairgowrie,3942,Mornington Peninsula,-38.3687875,144.7712835,1023,6,1024,6,994,6,1375000,-8.33,187.39,60.0,0,0,0,80,7,4,26,16,3,3,2,10,2,50,OUTER GROWTH
Blind Bight,3980,Casey,-38.2156242,145.3406393,996,6,1032,7,1010,6,806000,14,100.0,60.0,0,0,0,0,0,4,50,7,3,3,2,10,2,50,HILLS & RANGES
Bonbeach,3196,Kingston,-38.0604328,145.1260029,1043,7,999,5,1047,8,1042500,-6.92,253.59,92.0,6,5,1,47,56,4,45,47,3,3,2,10,2,50,BAYSIDE
Boronia,3155,Knox,-37.8610682,145.2867055,1015,6,992,5,998,6,851000,0.12,243.52,60.0,0,0,0,27,76,4,50,92,3,3,2,10,2,50,HILLS & RANGES
Botanic Ridge,3977,Casey,-38.1395065,145.2548626,988,5,1035,7,951,4,870000,-4.13,0.0,90.0,21,14,5,53,52,4,24,3,3,3,2,10,2,50,HILLS & RANGES
Box Hill,3128,Whitehorse,-37.8181073,145.1238563,991,4,928,2,1096,9,1700000,-0.29,235.08,60.0,0,0,0,12,79,4,79,96,3,3,2,10,2,50,OUTER GROWTH
Box Hill North,3129,Whitehorse,-37.8017621,145.1268438,1041,7,1016,6,1106,9,1357000,-2.3,235.08,60.0,0,0,0,8,74,4,52,60,3,3,2,10,2,50,OUTER GROWTH
Box Hill South,3128,Whitehorse,-37.8385248,145.120253,1011,5,954,4,1115,9,1467500,-2.17,235.08,60.0,0,0,0,16,76,4,58,59,3,3,2,10,2,50,OUTER GROWTH
Brighton,3186,Bayside,-37.9044002,144.9997396,1005,5,984,4,1037,7,3350000,-0.65,243.49,60.0,0,0,0,0,0,4,59,93,3,3,2,10,2,50,BAYSIDE
Brighton East,3187,Bayside,-37.9179439,145.0190242,1090,10,1093,10,1138,10,2176500,-9.69,243.49,60.0,0,0,0,56,73,4,50,57,3,3,2,10,2,50,BAYSIDE
Brookfield,3338,Melton,-37.699465,144.5468869,952,3,1015,6,920,3,560000,-2,100.0,60.0,0,0,0,0,0,4,23,14,3,3,2,10,2,50,OUTER GROWTH
Brunswick,3056,Merri-bek,-37.7666099,144.9584302,1004,5,994,5,1028,7,1300000,-2,348.82,60.0,0,0,0,0,0,4,71,97,3,3,2,10,2,50,INNER METRO
Brunswick East,3057,Merri-bek,-37.7673388,144.9802463,1076,9,943,2,1162,10,1400000,4,348.82,60.0,0,0,0,0,0,4,73,86,3,3,2,10,2,50,INNER METRO
Brunswick West,3055,Merri-bek,-37.7586481,144.9448586,1047,7,949,3,1112,9,1275000,-1,348.82,60.0,0,0,0,0,0,4,58,84,3,3,2,10,2,50,INNER METRO
Bulleen,3105,Manningham,-37.7660476,145.0879338,1047,7,1037,7,1061,8,1318000,-2.37,147.03,60.0,0,0,0,10,83,4,42,79,3,3,2,10,2,50,OUTER GROWTH
Bundoora,3083,Whittlesea,-37.6948854,145.0622727,1024,6,1013,6,1016,7,1130000,0.0,231.53,60.0,0,0,0,0,0,4,57,76,3,3,2,10,2,50,OUTER GROWTH
Burnside,3023,Melton,-37.7469113,144.7485686,982,4,1044,8,958,4,789000,0.0,100.0,96.0,1,0,0,0,0,4,41,20,3,3,2,10,2,50,OUTER GROWTH
Burnside Heights,3023,Melton,-37.7310619,144.7593958,1006,5,1062,9,1005,6,736250,0.0,100.0,96.0,1,0,0,0,0,4,38,25,3,3,2,10,2,50,OUTER GROWTH
Burwood,3125,Whitehorse,-37.8483275,145.1099967,940,2,849,1,1091,9,1509000,4.07,235.08,60.0,0,0,0,19,75,4,60,65,3,3,2,10,2,50,OUTER GROWTH
Burwood East,3151,Whitehorse,-37.8552869,145.1513801,1031,6,1009,6,1063,8,1325000,3.52,235.08,60.0,0,0,0,20,73,4,59,77,3,3,2,10,2,50,OUTER GROWTH
Cairnlea,3023,Brimbank,-37.7574652,144.7844769,951,3,1044,8,968,5,712000,-10,344.52,96.0,1,0,0,0,0,4,36,65,3,3,2,10,2,50,OUTER GROWTH
Camberwell,3124,Boroondara,-37.8334095,145.0658766,1097,10,1068,9,1156,10,2600000,-2.4,241.83,60.0,0,0,0,23,78,4,70,69,3,3,2,10,2,50,INNER METRO
Campbellfield,3061,Hume,-37.665113,144.955677,791,1,902,1,886,1,560000,-7,100.0,60.0,0,0,0,0,0,4,42,36,3,3,2,10,2,50,OUTER GROWTH
Canterbury,3126,Boroondara,-37.8245223,145.0741474,977,4,963,3,1041,7,3388000,4.17,241.83,60.0,0,0,0,19,81,4,61,75,3,3,2,10,2,50,INNER METRO
Carlton,3053,Melbourne,-37.798389,144.9694441,962,3,773,1,1143,10,1380000,-2.51,457.97,60.0,0,0,0,24,89,4,100,99,3,3,2,10,2,50,INNER METRO
Carlton North,3054,Melbourne,-37.782195,144.9731431,1087,10,969,4,1169,10,1650000,10.0,457.97,60.0,0,0,0,25,91,4,78,93,3,3,2,10,2,50,INNER METRO
Carnegie,3163,Glen Eira,-37.8891994,145.0570577,1062,8,973,4,1122,9,1380000,2.5,221.37,60.0,0,0,0,40,76,4,77,92,3,3,2,10,2,50,INNER METRO
Caroline Springs,3023,Melton,-37.7431281,144.7356782,1014,6,1040,8,1013,6,610000,0.0,224.38,96.0,1,0,0,0,0,4,42,43,3,3,2,10,2,50,OUTER GROWTH
Carrum,3197,Kingston,-38.0763552,145.123188,1043,7,1035,7,1027,7,1100500,6.07,253.59,95.5,2,2,0,43,52,4,51,64,3,3,2,10,2,50,BAYSIDE
Carrum Downs,3201,Frankston,-38.0975353,145.1706992,986,4,991,5,938,3,740000,3.5,306.42,88.3,3,2,1,42,49,4,40,53,3,3,2,10,2,50,OUTER GROWTH
Catani,3981,Cardinia,-38.1956357,145.6391144,1039,7,1018,6,1037,7,0,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,HILLS & RANGES
Caulfield,3162,Glen Eira,-37.8831621,145.0295877,1085,9,1016,6,1155,10,2005000,-7.39,221.37,60.0,0,0,0,43,79,4,63,52,3,3,2,10,2,50,INNER METRO
Caulfield East,3145,Glen Eira,-37.8778697,145.0445735,1080,9,1019,6,1139,10,1750000,-3.2,221.37,60.0,0,0,0,40,80,4,82,91,3,3,2,10,2,50,INNER METRO
Caulfield North,3161,Glen Eira,-37.8712631,145.0190242,1079,9,990,5,1148,10,2249000,-10.26,221.37,60.0,0,0,0,47,84,4,76,78,3,3,2,10,2,50,INNER METRO
Caulfield South,3162,Glen Eira,-37.8945334,145.0205148,1079,9,1008,6,1140,10,1864000,-2.0,221.37,60.0,0,0,0,47,77,4,60,80,3,3,2,10,2,50,INNER METRO
Chelsea,3196,Kingston,-38.051641,145.1160848,1054,8,1073,9,1020,7,1125000,-6.25,253.59,92.0,6,5,1,45,55,4,52,75,3,3,2,10,2,50,BAYSIDE
Chelsea Heights,3196,Kingston,-38.0454639,145.1358899,1048,7,1043,8,1006,6,935000,-1.58,253.59,92.0,6,5,1,42,51,4,34,52,3,3,2,10,2,50,BAYSIDE
Cheltenham,3192,Bayside,-37.964155,145.0658766,1103,10,1106,10,1152,10,1202500,-1.92,243.49,60.0,0,0,0,55,64,4,55,54,3,3,2,10,2,50,OUTER GROWTH
Chirnside Park,3116,Yarra Ranges,-37.7373267,145.3088196,1060,8,1074,9,1014,6,915000,1.67,131.08,60.0,0,0,0,31,87,4,50,4,3,3,2,10,2,50,HILLS & RANGES
Chum Creek,3777,Yarra Ranges,-37.598847,145.4878081,1030,6,1040,8,983,5,0,0.0,100.0,60.0,0,0,0,0,0,4,50,2,3,3,2,10,2,50,HILLS & RANGES
Clarinda,3169,Kingston,-37.9454838,145.1210303,990,4,1009,6,1000,6,1117000,-3.1,253.59,60.0,0,0,0,0,0,4,30,32,3,3,2,10,2,50,OUTER GROWTH
Clayton,3168,Monash,-37.9145479,145.127492,954,3,944,2,1004,6,1277500,8.26,288.06,60.0,0,0,0,35,71,4,69,80,3,3,2,10,2,50,OUTER GROWTH
Clayton South,3169,Kingston,-37.9454838,145.1210303,954,3,944,2,1004,6,972500,4.57,253.59,60.0,0,0,0,42,61,4,30,32,3,3,2,10,2,50,OUTER GROWTH
Clifton Hill,3068,Yarra,-37.7885749,144.9887218,1094,10,1026,7,1175,10,1667500,5.37,538.29,60.0,0,0,0,21,86,4,79,93,3,3,2,10,2,50,INNER METRO
Clyde,3978,,-38.1284823,145.3217471,867,1,893,1,982,5,700000,0.36,0.0,94.6,7,5,0,61,58,4,17,7,3,3,2,10,2,50,HILLS & RANGES
Clyde North,3978,Casey,-38.1108098,145.3287992,1066,9,1104,10,1061,8,730000,0.69,0.0,94.6,7,5,0,59,59,4,37,18,3,3,2,10,2,50,HILLS & RANGES
Coburg,3058,Merri-bek,-37.7412988,144.9666108,1027,6,967,4,1099,9,1300500,-2,348.82,60.0,0,0,0,0,0,4,71,96,3,3,2,10,2,50,INNER METRO
Coburg North,3058,Merri-bek,-37.7343488,144.9666905,1017,6,981,4,1080,8,1300500,-2,348.82,60.0,0,0,0,0,0,4,67,76,3,3,2,10,2,50,INNER METRO
Cockatoo,3781,Cardinia,-37.9357967,145.4913918,1066,9,1091,10,1011,6,725000,-4.61,115.14,60.0,0,0,0,58,90,4,26,48,3,3,2,10,2,50,HILLS & RANGES
Coldstream,3770,,-37.7247031,145.3786112,1035,7,1045,8,985,5,825000,1.13,0.0,60.0,0,0,0,40,93,4,24,40,3,3,2,10,2,50,HILLS & RANGES
Collingwood,3066,Yarra,-37.799283,144.9873447,962,3,864,1,1109,9,1183750,-2.17,538.29,60.0,0,0,0,19,85,4,85,99,3,3,2,10,2,50,INNER METRO
Coolaroo,3048,Hume,-37.6612312,144.9370304,791,1,902,1,886,1,0,0.0,317.21,60.0,0,0,0,0,0,4,50,47,3,3,2,10,2,50,OUTER GROWTH
Craigieburn,3064,Hume,-37.5939825,144.9100319,925,2,973,4,909,2,650000,0.0,317.21,60.0,0,0,0,0,0,4,42,65,3,3,2,10,2,50,OUTER GROWTH
Cranbourne,3977,Casey,-38.1054204,145.2818338,920,2,966,3,903,2,683000,3.25,227.98,90.0,21,14,5,49,58,4,58,80,3,3,2,10,2,50,HILLS & RANGES
Cranbourne East,3977,Casey,-38.1033891,145.3071234,1001,5,1044,8,974,5,725000,0.0,227.98,90.0,21,14,5,60,62,4,36,18,3,3,2,10,2,50,HILLS & RANGES
Cranbourne North,3977,Casey,-38.074153,145.2714705,1013,6,1063,9,1021,7,735000,2.8,227.98,90.0,21,14,5,45,60,4,48,45,3,3,2,10,2,50,HILLS & RANGES
Cranbourne South,3977,Casey,-38.1584939,145.2435138,1054,8,1100,10,987,5,750000,9.41,227.98,90.0,21,14,5,53,48,4,50,5,3,3,2,10,2,50,OUTER GROWTH
Cranbourne West,3977,Casey,-38.1022116,145.2538591,989,4,1038,8,963,5,700000,2.49,227.98,90.0,21,14,5,47,54,4,37,4,3,3,2,10,2,50,HILLS & RANGES
Cremorne,3121,Yarra,-37.8272763,144.9937657,1102,10,1023,7,1191,10,1875000,-14.77,538.29,60.0,0,0,0,0,0,4,95,98,3,3,2,10,2,50,INNER METRO
Croydon,3136,Maroondah,-37.7944026,145.2812664,1015,6,1006,6,1088,9,900000,-3.74,208.37,60.0,0,0,0,23,77,4,57,89,3,3,2,10,2,50,HILLS & RANGES
Croydon Hills,3136,Maroondah,-37.7745507,145.2637942,1085,9,1096,10,1058,8,1152000,-4.0,130.07,60.0,0,0,0,24,77,4,29,32,3,3,2,10,2,50,HILLS & RANGES
Croydon North,3136,Maroondah,-37.7696503,145.2869678,1053,8,1059,8,1053,8,1030000,-7.5,208.37,60.0,0,0,0,28,80,4,36,51,3,3,2,10,2,50,HILLS & RANGES
Croydon South,3136,Maroondah,-37.8135625,145.2693411,1040,7,1037,7,1032,7,921000,0.0,208.37,60.0,0,0,0,22,75,4,33,62,3,3,2,10,2,50,HILLS & RANGES
Dallas,3047,Hume,-37.6709849,144.9319545,794,1,907,1,891,1,560000,-7,100.0,60.0,0,0,0,0,0,4,46,67,3,3,2,10,2,50,OUTER GROWTH
Dandenong,3175,Greater Dandenong,-37.9847811,145.2139907,1079,9,1087,9,1092,9,752500,5.99,410.21,89.0,8,5,2,32,64,4,78,97,3,3,2,10,2,50,OUTER GROWTH
Dandenong North,3175,Greater Dandenong,-37.9592436,145.206837,926,2,960,3,953,4,760250,1.37,410.21,89.0,8,5,2,27,60,4,36,46,3,3,2,10,2,50,OUTER GROWTH
Dandenong South,3175,Greater Dandenong,-38.0316959,145.2120596,1005,6,1049,7,1008,6,780000,2.8,410.21,89.0,8,5,2,39,55,4,38,24,3,3,2,10,2,50,OUTER GROWTH
Deepdene,3103,,-37.8109391,145.0654465,1046,7,1024,7,1113,9,3766000,12.22,0.0,60.0,0,0,0,18,83,4,60,77,3,3,2,10,2,50,INNER METRO
Deer Park,3023,Brimbank,-37.7702749,144.7747728,899,1,954,3,922,3,0,0.0,344.52,96.0,1,0,0,0,0,4,51,76,3,3,2,10,2,50,OUTER GROWTH
Delahey,3037,Brimbank,-37.7154012,144.7727271,899,1,958,3,899,2,867000,0.0,344.52,60.0,0,0,0,0,0,4,38,27,3,3,2,10,2,50,OUTER GROWTH
Derrimut,3026,Brimbank,-37.8294185,144.7796581,987,4,1051,8,993,6,750000,0.0,100.0,60.0,0,0,0,0,0,4,28,23,3,3,2,10,2,50,OUTER GROWTH
Devon Meadows,3977,,-38.1620564,145.3026325,996,6,1032,7,1010,6,720000,1.5,0.0,90.0,21,14,5,58,54,4,20,0,3,3,2,10,2,50,HILLS & RANGES
Diamond Creek,3089,Nillumbik,-37.6666174,145.1541397,1084,9,1104,10,1046,7,987500,0.0,130.58,60.0,0,0,0,0,0,4,31,36,3,3,2,10,2,50,OUTER GROWTH
Diggers Rest,3427,,-37.6153848,144.6862995,1037,7,1047,8,978,5,0,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,OUTER GROWTH
Dixons Creek,3775,Yarra Ranges,-37.6015115,145.4183447,1030,6,1040,8,983,5,0,0.0,100.0,60.0,0,0,0,0,0,4,50,5,3,3,2,10,2,50,HILLS & RANGES
Docklands,3008,Melbourne,-37.8170652,144.9419122,1044,7,875,1,1160,10,950000,4.5,457.97,60.0,0,0,0,39,92,4,100,87,3,3,2,10,2,50,INNER METRO
Don Valley,3139,Yarra Ranges,-37.742966,145.5920441,1070,9,1082,9,1062,7,0,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,HILLS & RANGES
Doncaster,3108,Manningham,-37.7865824,145.1210303,1027,6,1006,6,1084,8,1471500,-2.71,147.03,60.0,0,0,0,6,77,4,61,80,3,3,2,10,2,50,OUTER GROWTH
Doncaster East,3109,Manningham,-37.7891081,145.1619649,1059,8,1075,9,1081,8,1550000,-3.91,147.03,60.0,0,0,0,7,74,4,54,76,3,3,2,10,2,50,OUTER GROWTH
Donvale,3111,Manningham,-37.7901921,145.1872619,1083,9,1100,10,1086,9,1521000,0.73,147.03,60.0,0,0,0,11,73,4,40,10,3,3,2,10,2,50,OUTER GROWTH
Doreen,3754,Whittlesea,-37.5864808,145.1283462,1051,8,1080,9,1007,6,705000,0.0,231.53,60.0,0,0,0,0,0,4,32,68,3,3,2,10,2,50,OUTER GROWTH
Doveton,3177,Casey,-37.9876769,145.2394075,832,1,886,1,901,2,610000,1.67,227.98,85.0,4,3,0,35,63,4,40,62,3,3,2,10,2,50,OUTER GROWTH
Dromana,3936,Mornington Peninsula,-38.3361633,144.9740524,1026,6,1013,6,992,6,945000,-7.35,187.39,60.0,0,0,0,63,20,4,28,46,3,3,2,10,2,50,BAYSIDE
Edithvale,3196,Kingston,-38.0385629,145.1090316,1073,9,1054,8,1079,8,1280000,-2.29,253.59,92.0,6,5,1,42,56,4,51,57,3,3,2,10,2,50,BAYSIDE
Elsternwick,3185,Glen Eira,-37.8849536,145.0059691,1085,9,1014,6,1144,10,1380000,2.5,221.37,60.0,0,0,0,0,0,4,65,95,3,3,2,10,2,50,INNER METRO
Eltham,3095,Nillumbik,-37.718984,145.1460687,1098,10,1105,10,1096,9,999000,0.0,130.58,60.0,0,0,0,0,0,4,53,85,3,3,2,10,2,50,HILLS & RANGES
Eltham North,3095,Nillumbik,-37.6980273,145.1444175,1096,10,1117,10,1081,8,999000,0.0,130.58,60.0,0,0,0,0,0,4,39,27,3,3,2,10,2,50,OUTER GROWTH
Elwood,3184,Port Phillip,-37.878722,144.9859676,1083,9,978,4,1154,10,2190000,-0.2,519.82,60.0,0,0,0,51,82,4,63,78,3,3,2,10,2,50,BAYSIDE
Emerald,3782,Cardinia,-37.9291842,145.4448709,1015,6,1015,6,926,3,910000,1.11,186.09,60.0,0,0,0,51,83,4,27,63,3,3,2,10,2,50,HILLS & RANGES
Endeavour Hills,3802,Casey,-37.9780214,145.2590707,996,5,1029,7,982,5,813750,1.09,100.0,88.8,4,3,1,36,67,4,39,78,3,3,2,10,2,50,HILLS & RANGES
Epping,3076,Whittlesea,-37.6376748,145.026475,1081,9,1029,7,1162,10,691000,-3,231.53,60.0,0,0,0,0,0,4,47,49,3,3,2,10,2,50,OUTER GROWTH
Essendon,3040,Moonee Valley,-37.7527648,144.9160333,1073,9,1035,7,1083,8,1242000,0.0,316.22,60.0,0,0,0,0,0,4,71,89,3,3,2,10,2,50,INNER METRO
