suburb,postcode,lga,latitude,longitude,irsd_score,irsd_decile,ier_score,ier_decile,ieo_score,ieo_decile,medianPrice,growth1yr,crimeRate,schoolRating,schoolCount,primarySchools,secondarySchools,primaryCommuteMinutes,secondaryCommuteMinutes,rentalYield,transitScore,walkScore,parksDensity,childcareCenters,shoppingCenters,cafesRestaurants,medicalCenters,bikeScore,category
Essendon North,3041,Moonee Valley,-37.737462,144.9014161,1076,9,1053,8,1078,8,1242000,0.0,316.22,60.0,0,0,0,0,0,4,58,72,3,3,2,10,2,50,INNER METRO
Essendon West,3040,Moonee Valley,-37.7535628,144.886126,1067,9,1042,8,1064,8,1242000,0.0,316.22,60.0,0,0,0,0,0,4,47,49,3,3,2,10,2,50,INNER METRO
Eumemmerring,3177,Casey,-37.9963814,145.2504506,915,3,964,4,940,3,692500,7.36,227.98,85.0,4,3,0,35,63,4,37,53,3,3,2,10,2,50,HILLS & RANGES
Fairfield,3078,Darebin,-37.7790074,145.0181267,721,1,861,1,891,2,1301000,-5,430.37,60.0,0,0,0,0,0,4,53,92,3,3,2,10,2,50,INNER METRO
Fawkner,3060,Merri-bek,-37.6969273,144.9666905,936,2,937,2,984,5,1275000,-1,348.82,60.0,0,0,0,0,0,4,47,63,3,3,2,10,2,50,OUTER GROWTH
Ferntree Gully,3156,Knox,-37.8826855,145.2776105,1014,6,1000,5,999,6,886750,-2.55,243.52,60.0,0,0,0,25,71,4,47,83,3,3,2,10,2,50,HILLS & RANGES
Ferny Creek,3786,,-37.8759058,145.3309395,1071,9,1082,9,1030,7,0,0.0,100.0,60.0,0,0,0,0,0,4,22,3,3,3,2,10,2,50,HILLS & RANGES
Fitzroy,3065,Yarra,-37.7983606,144.9784894,979,4,884,1,1125,9,1812312,9.47,538.29,60.0,0,0,0,21,87,4,97,99,3,3,2,10,2,50,INNER METRO
Fitzroy North,3068,Yarra,-37.7885749,144.9887218,1066,9,962,3,1171,10,1557500,-8.78,538.29,60.0,0,0,0,21,86,4,79,93,3,3,2,10,2,50,INNER METRO
Flemington,3031,Moonee Valley,-37.790896,144.9198932,929,2,862,1,1068,8,1300500,-2,316.22,60.0,0,0,0,0,0,4,63,70,3,3,2,10,2,50,INNER METRO
Footscray,3011,Maribyrnong,-37.7988987,144.892357,987,4,895,1,1084,8,922500,-2.89,489.98,60.0,0,0,0,50,98,4,76,94,3,3,2,10,2,50,INNER METRO
Forest Hill,3131,Whitehorse,-37.8347413,145.1727369,1021,6,999,5,1059,8,1210006,0.21,235.08,60.0,0,0,0,16,72,4,46,85,3,3,2,10,2,50,OUTER GROWTH
Frankston,3199,Frankston,-38.1466246,145.135722,972,4,942,2,995,6,765000,3.38,306.42,90.5,18,10,5,41,41,4,60,76,3,3,2,10,2,50,BAYSIDE
Frankston Heights,3199,Frankston,-38.1620052,145.1466011,1027,7,1025,6,1009,6,0,0.0,184.48,90.5,18,10,5,46,42,4,30,30,3,3,2,10,2,50,BAYSIDE
Frankston North,3200,Frankston,-38.1250223,145.162419,925,2,928,2,927,3,629500,6.69,306.42,88.2,4,4,0,43,51,4,33,33,3,3,2,10,2,50,BAYSIDE
Frankston South,3199,Frankston,-38.1645944,145.1486206,1069,9,1076,9,1056,8,1151000,-2.46,306.42,90.5,18,10,5,48,43,4,28,13,3,3,2,10,2,50,BAYSIDE
Fraser Rise,3336,,-37.7097302,144.7268092,1047,7,1087,9,1021,7,0,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,OUTER GROWTH
Gardenvale,3185,Glen Eira,-37.8978502,145.0076561,1060,8,1030,7,1106,9,1380000,2.5,100.0,60.0,0,0,0,0,0,4,61,79,3,3,2,10,2,50,INNER METRO
Gembrook,3783,Cardinia,-37.9524044,145.6023644,1044,8,1057,8,982,5,860000,-1.71,186.09,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,HILLS & RANGES
Gisborne,3437,Macedon Ranges,-37.5197014,144.5437205,1079,9,1099,10,1049,8,976000,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,OUTER GROWTH
Gladstone Park,3043,Hume,-37.6926696,144.8951801,979,4,1001,5,953,4,720000,-5,317.21,60.0,0,0,0,0,0,4,37,51,3,3,2,10,2,50,OUTER GROWTH
Glen Huntly,3163,Glen Eira,-37.8893948,145.0419257,1066,9,994,5,1120,9,1380000,2.5,100.0,60.0,0,0,0,0,0,4,62,83,3,3,2,10,2,50,INNER METRO
Glen Waverley,3150,Monash,-37.8743502,145.1668205,1055,8,1048,8,1102,9,1694000,0.3,288.06,60.0,0,0,0,21,68,4,57,93,3,3,2,10,2,50,OUTER GROWTH
Glenhuntly,3163,,-37.8893948,145.0419257,1071,9,994,5,1132,9,1420000,1.8,100.0,60.0,0,0,0,0,0,4,62,83,3,3,2,10,2,50,INNER METRO
Glenroy,3046,Merri-bek,-37.7062465,144.9161373,945,2,932,2,1002,6,1275000,-1,348.82,60.0,0,0,0,0,0,4,51,88,3,3,2,10,2,50,OUTER GROWTH
Gowanbrae,3043,Merri-bek,-37.7062908,144.8948907,1069,9,1077,9,1037,7,720000,-5,100.0,60.0,0,0,0,0,0,4,53,29,3,3,2,10,2,50,OUTER GROWTH
Greensborough,3088,Nillumbik,-37.7043698,145.1006438,1070,9,1053,8,1062,8,875500,-4,130.58,60.0,0,0,0,0,0,4,60,95,3,3,2,10,2,50,OUTER GROWTH
Greenvale,3059,Hume,-37.6454887,144.8841246,1033,7,1092,10,1013,6,727500,4,317.21,60.0,0,0,0,0,0,4,30,34,3,3,2,10,2,50,OUTER GROWTH
Hadfield,3046,Merri-bek,-37.7105356,144.9501406,970,3,963,3,995,6,1275000,-1,348.82,60.0,0,0,0,0,0,4,42,48,3,3,2,10,2,50,INNER METRO
Hallam,3803,Casey,-38.0069505,145.2756505,917,2,978,4,937,3,752000,0.94,227.98,82.7,3,1,2,40,66,4,41,63,3,3,2,10,2,50,HILLS & RANGES
Hampton,3188,Bayside,-37.9338333,145.0031893,1074,9,1060,8,1131,10,2314000,-7.99,243.49,60.0,0,0,0,60,74,4,53,94,3,3,2,10,2,50,BAYSIDE
Hampton Park,3976,Casey,-38.0349647,145.2756505,917,2,977,4,921,3,678000,2.73,227.98,88.8,5,4,1,42,66,4,42,37,3,3,2,10,2,50,HILLS & RANGES
Hawthorn,3122,Boroondara,-37.8222114,145.0328017,1091,10,1014,6,1164,10,2840000,-8.05,241.83,60.0,0,0,0,26,82,4,75,98,3,3,2,10,2,50,INNER METRO
Hawthorn East,3123,Boroondara,-37.8310813,145.0520938,1091,10,1014,6,1164,10,2612500,3.67,241.83,60.0,0,0,0,26,77,4,73,90,3,3,2,10,2,50,INNER METRO
Healesville,3777,Yarra Ranges,-37.5848772,145.5136433,1027,6,1038,8,982,5,785000,1.95,131.08,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,HILLS & RANGES
Heidelberg,3084,Banyule,-37.7566014,145.0696116,1075,9,1028,7,1112,9,944000,-2,252.91,60.0,0,0,0,0,0,4,51,87,3,3,2,10,2,50,INNER METRO
Heidelberg Heights,3081,Banyule,-37.7426485,145.0525538,943,4,950,3,1016,6,944000,-2,252.91,60.0,0,0,0,0,0,4,52,54,3,3,2,10,2,50,INNER METRO
Heidelberg West,3081,Banyule,-37.7415712,145.0428381,962,3,919,2,1049,8,944000,-2,252.91,60.0,0,0,0,0,0,4,56,63,3,3,2,10,2,50,INNER METRO
Highett,3190,Bayside,-37.9487497,145.0410692,1071,9,1052,8,1108,9,1350000,0.5,243.49,60.0,0,0,0,0,0,4,55,82,3,3,2,10,2,50,OUTER GROWTH
Hoppers Crossing,3029,Wyndham,-37.8629027,144.6854533,970,3,996,5,949,4,653500,1,213.85,60.0,0,0,0,0,0,4,40,61,3,3,2,10,2,50,OUTER GROWTH
Hughesdale,3166,Monash,-37.8947609,145.0848814,1051,8,1007,6,1099,9,1435000,0.91,288.06,60.0,0,0,0,37,72,4,77,82,3,3,2,10,2,50,OUTER GROWTH
Huntingdale,3166,Monash,-37.9078779,145.1107218,1038,7,1001,5,1070,8,1210000,2.54,288.06,60.0,0,0,0,33,69,4,75,78,3,3,2,10,2,50,OUTER GROWTH
Hurstbridge,3099,Nillumbik,-37.6374085,145.1944322,1068,9,1077,9,1050,8,987500,0.0,130.58,60.0,0,0,0,0,0,4,44,61,3,3,2,10,2,50,OUTER GROWTH
Ivanhoe,3079,Banyule,-37.7683771,145.0429223,1085,9,1040,8,1136,10,944000,-2,252.91,60.0,0,0,0,0,0,4,53,93,3,3,2,10,2,50,INNER METRO
Ivanhoe East,3079,Banyule,-37.7730009,145.0602831,1118,10,1104,10,1146,10,944000,-2,252.91,60.0,0,0,0,0,0,4,39,75,3,3,2,10,2,50,INNER METRO
Jacana,3047,Hume,-37.687232,144.9128564,998,5,1003,5,997,6,560000,-7,100.0,60.0,0,0,0,0,0,4,59,71,3,3,2,10,2,50,OUTER GROWTH
Junction Village,3977,,-38.1363724,145.2944402,929,3,968,4,953,4,670000,-3.34,0.0,90.0,21,14,5,55,55,4,20,8,3,3,2,10,2,50,HILLS & RANGES
Kallista,3791,,-37.9051015,145.4111713,1046,8,1055,8,998,6,0,0.0,100.0,60.0,0,0,0,0,0,4,0,0,3,3,2,10,2,50,HILLS & RANGES
Kangaroo Ground,3097,Nillumbik,-37.6897828,145.2369693,1105,10,1141,10,1094,9,0,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,OUTER GROWTH
Karingal,3199,Frankston,-38.1421518,145.1581699,989,5,982,4,993,6,0,0.0,306.42,90.5,18,10,5,43,47,4,35,55,3,3,2,10,2,50,OUTER GROWTH
Kealba,3021,Brimbank,-37.7327512,144.8238362,1018,6,1042,7,984,5,710000,0.0,100.0,60.0,0,0,0,0,0,4,34,39,3,3,2,10,2,50,OUTER GROWTH
Keilor,3036,Brimbank,-37.7161471,144.8282459,1052,8,1058,8,1008,6,710000,0.0,344.52,60.0,0,0,0,0,0,4,29,61,3,3,2,10,2,50,OUTER GROWTH
Keilor Downs,3038,Brimbank,-37.7233543,144.8077931,965,3,996,5,953,4,920000,0.0,344.52,60.0,0,0,0,0,0,4,38,65,3,3,2,10,2,50,OUTER GROWTH
Keilor East,3033,Brimbank,-37.7343192,144.8566207,1036,7,1037,7,1018,7,1242000,0.0,344.52,60.0,0,0,0,0,0,4,46,51,3,3,2,10,2,50,OUTER GROWTH
Keilor Lodge,3038,,-37.69754,144.7978052,949,3,983,4,939,4,0,0.0,100.0,60.0,0,0,0,0,0,4,32,58,3,3,2,10,2,50,OUTER GROWTH
Keilor Park,3042,Brimbank,-37.7200817,144.8514577,1019,6,1018,6,990,6,710000,0.0,100.0,60.0,0,0,0,0,0,4,38,53,3,3,2,10,2,50,OUTER GROWTH
Kensington,3031,Melbourne,-37.7941207,144.9276659,1071,9,968,4,1146,10,1215000,-12,457.97,60.0,0,0,0,0,0,4,71,92,3,3,2,10,2,50,INNER METRO
Kew,3101,Boroondara,-37.803516,145.0328017,1087,10,1065,9,1138,10,2760000,0.36,241.83,60.0,0,0,0,20,84,4,67,91,3,3,2,10,2,50,INNER METRO
Kew East,3102,Boroondara,-37.791629,145.0482331,1087,10,1065,9,1138,10,2125000,-4.92,241.83,60.0,0,0,0,17,85,4,52,45,3,3,2,10,2,50,INNER METRO
Keysborough,3173,Greater Dandenong,-38.0042683,145.1706992,914,2,981,4,918,3,988000,6.24,410.21,92.1,7,4,1,35,57,4,36,3,3,3,2,10,2,50,OUTER GROWTH
Kilmore,3764,,-37.2960445,144.9520417,1002,5,1024,7,940,4,0,0.0,100.0,60.0,0,0,0,0,0,4,50,58,3,3,2,10,2,50,OUTER GROWTH
Kilsyth,3137,Yarra Ranges,-37.8253798,145.3198788,1010,5,1011,6,978,5,830000,1.47,131.08,60.0,0,0,0,31,81,4,28,18,3,3,2,10,2,50,HILLS & RANGES
Kilsyth South,3137,Yarra Ranges,-37.8336968,145.3068603,1032,6,1036,7,992,6,1091000,0.44,131.08,60.0,0,0,0,29,79,4,28,21,3,3,2,10,2,50,HILLS & RANGES
Kings Park,3021,Brimbank,-37.7334692,144.7662246,951,3,930,2,986,5,710000,0.0,100.0,60.0,0,0,0,0,0,4,33,21,3,3,2,10,2,50,OUTER GROWTH
Kingsbury,3083,Darebin,-37.7143364,145.0386962,1012,5,982,4,1058,8,800000,0.0,100.0,60.0,0,0,0,0,0,4,60,69,3,3,2,10,2,50,OUTER GROWTH
Kingsville,3012,Maribyrnong,-37.8086674,144.8800502,1060,8,1008,6,1129,10,915000,-5,489.98,60.0,0,0,0,0,0,4,57,81,3,3,2,10,2,50,INNER METRO
Knoxfield,3180,Knox,-37.896518,145.2472157,1052,8,1048,8,1038,7,997500,3.91,243.52,60.0,0,0,0,25,66,4,39,69,3,3,2,10,2,50,OUTER GROWTH
Kooyong,3144,Stonnington,-37.840837,145.0360838,1098,10,1030,7,1167,10,0,0.0,417.37,60.0,0,0,0,0,0,4,67,53,3,3,2,10,2,50,INNER METRO
Kurunjang,3337,Melton,-37.6661536,144.5953137,947,3,1001,5,899,2,867000,0.0,224.38,60.0,0,0,0,0,0,4,25,16,3,3,2,10,2,50,OUTER GROWTH
Lalor,3075,Whittlesea,-37.6650543,145.0107588,1002,5,1011,6,1007,6,691000,-3,231.53,60.0,0,0,0,0,0,4,52,51,3,3,2,10,2,50,OUTER GROWTH
Langwarrin,3910,Frankston,-38.1608986,145.1927835,1040,7,1056,8,976,5,863000,1.53,306.42,92.6,5,4,1,49,46,4,29,32,3,3,2,10,2,50,OUTER GROWTH
Langwarrin South,3911,Frankston,-38.1930816,145.183001,1054,8,1077,9,1006,6,0,0.0,184.48,93.0,1,1,0,48,40,4,15,3,3,3,2,10,2,50,OUTER GROWTH
Launching Place,3139,,-37.7762367,145.5764386,1070,9,1078,9,1068,7,705000,6.82,73.44,60.0,0,0,0,0,0,4,50,16,3,3,2,10,2,50,HILLS & RANGES
Laverton,3028,Hobsons Bay,-37.8635199,144.7710013,993,5,992,5,1028,7,0,0.0,274.49,60.0,0,0,0,0,0,4,54,56,3,3,2,10,2,50,OUTER GROWTH
Laverton North,3026,Wyndham,-37.8280477,144.7854874,983,4,1002,5,1011,6,0,0.0,100.0,60.0,0,0,0,0,0,4,29,35,3,3,2,10,2,50,OUTER GROWTH
Lilydale,3140,Yarra Ranges,-37.7643547,145.3475331,1035,7,1045,8,985,5,902000,-5.05,131.08,60.0,0,0,0,36,88,4,49,23,3,3,2,10,2,50,HILLS & RANGES
Lower Plenty,3093,Banyule,-37.7393287,145.112755,1062,9,1047,8,1080,8,944000,-2,252.91,60.0,0,0,0,0,0,4,22,4,3,3,2,10,2,50,OUTER GROWTH
Lynbrook,3975,Casey,-38.0510589,145.2559478,1021,6,1079,9,1015,6,832500,9.54,0.0,87.9,7,5,2,41,60,4,39,70,3,3,2,10,2,50,HILLS & RANGES
Lyndhurst,3975,Casey,-38.0705008,145.2467167,1021,6,1079,9,1015,6,932500,6.57,227.98,87.9,7,5,2,41,58,4,35,16,3,3,2,10,2,50,OUTER GROWTH
Lysterfield,3156,Knox,-37.9185365,145.2778773,1097,10,1137,10,1043,7,1350000,3.65,0.0,60.0,0,0,0,31,68,4,28,30,3,3,2,10,2,50,HILLS & RANGES
Macleod,3085,Darebin,-37.7248363,145.0672046,1051,8,1017,6,1084,8,0,0.0,430.37,60.0,0,0,0,0,0,4,51,61,3,3,2,10,2,50,OUTER GROWTH
Maidstone,3012,Maribyrnong,-37.7828499,144.8689053,1023,6,994,5,1053,7,915000,-5,489.98,60.0,0,0,0,0,0,4,52,76,3,3,2,10,2,50,INNER METRO
Malvern,3144,Stonnington,-37.8535148,145.0355574,1098,10,1042,8,1159,10,3158500,9.59,417.37,60.0,0,0,0,39,77,4,73,86,3,3,2,10,2,50,INNER METRO
Malvern East,3145,Stonnington,-37.8773116,145.059272,1088,10,1046,8,1141,10,2080000,-2.21,417.37,60.0,0,0,0,35,73,4,73,89,3,3,2,10,2,50,INNER METRO
Maribyrnong,3032,Maribyrnong,-37.7837482,144.8908713,1045,7,1003,6,1078,8,915000,-5,489.98,60.0,0,0,0,0,0,4,56,77,3,3,2,10,2,50,INNER METRO
McCrae,3938,Mornington Peninsula,-38.3562816,144.9336544,982,4,977,4,947,4,1270000,-2.31,187.39,60.0,0,0,0,65,18,4,26,18,3,3,2,10,2,50,BAYSIDE
McKinnon,3204,Glen Eira,-37.9104488,145.0337951,1069,9,1042,8,1115,9,1690000,-2,221.37,60.0,0,0,0,0,0,4,54,83,3,3,2,10,2,50,OUTER GROWTH
Meadow Heights,3048,Hume,-37.6539007,144.9226452,800,1,917,2,901,2,727500,4,317.21,60.0,0,0,0,0,0,4,51,54,3,3,2,10,2,50,OUTER GROWTH
Melbourne,3000,Melbourne,-37.8152065,144.963937,1107,10,980,4,1189,10,1200000,3.8,457.97,60.0,0,0,0,33,91,4,100,100,3,3,2,10,2,50,INNER METRO
Melton,3337,Melton,-37.6095412,144.5875645,849,1,908,1,847,1,0,0.0,224.38,60.0,0,0,0,0,0,4,50,2,3,3,2,10,2,50,OUTER GROWTH
Melton South,3338,Melton,-37.7029022,144.5749646,877,1,940,2,893,2,0,0.0,224.38,60.0,0,0,0,0,0,4,47,70,3,3,2,10,2,50,OUTER GROWTH
Melton West,3337,Melton,-37.68298,144.5500157,940,2,999,5,910,2,0,0.0,224.38,60.0,0,0,0,0,0,4,36,26,3,3,2,10,2,50,OUTER GROWTH
Mentone,3194,Kingston,-37.9812197,145.064387,1061,8,1016,6,1082,8,1327500,-0.56,253.59,60.0,0,0,0,48,63,4,57,84,3,3,2,10,2,50,BAYSIDE
Menzies Creek,3159,,-37.921192,145.4070685,1053,8,1062,8,1013,6,0,0.0,100.0,60.0,0,0,0,0,0,4,25,4,3,3,2,10,2,50,HILLS & RANGES
Merlynston,3058,Merri-bek,-37.72093,144.96135,1005,5,970,4,1058,8,0,0.0,100.0,60.0,0,0,0,0,0,4,46,69,3,3,2,10,2,50,INNER METRO
Middle Park,3206,Port Phillip,-37.8509396,144.9615926,1070,9,1055,8,1071,8,2202500,-11,519.82,60.0,0,0,0,0,0,4,63,89,3,3,2,10,2,50,INNER METRO
Mill Park,3082,Whittlesea,-37.6703725,145.071113,1011,5,1019,6,982,5,691000,-3,231.53,60.0,0,0,0,0,0,4,55,50,3,3,2,10,2,50,OUTER GROWTH
Mitcham,3132,Whitehorse,-37.8219905,145.1983055,1062,8,1028,7,1092,9,1200000,-0.35,235.08,60.0,0,0,0,17,72,4,60,51,3,3,2,10,2,50,OUTER GROWTH
Monbulk,3793,Yarra Ranges,-37.8689357,145.4360858,1051,8,1065,9,1010,6,790000,-2.59,0.0,60.0,0,0,0,55,95,4,50,1,3,3,2,10,2,50,HILLS & RANGES
Mont Albert,3127,Boroondara,-37.8160228,145.1077021,1045,7,1010,6,1120,9,2477500,6.24,241.83,60.0,0,0,0,12,80,4,68,77,3,3,2,10,2,50,OUTER GROWTH
Mont Albert North,3129,Whitehorse,-37.8010393,145.1108602,1048,7,1033,7,1106,9,1580000,-3.66,0.0,60.0,0,0,0,9,78,4,44,59,3,3,2,10,2,50,OUTER GROWTH
Montrose,3765,Yarra Ranges,-37.8083883,145.353065,1068,9,1080,9,1009,6,922500,5.01,131.08,60.0,0,0,0,34,84,4,33,31,3,3,2,10,2,50,HILLS & RANGES
Moonee Ponds,3039,Moonee Valley,-37.7675363,144.9198932,1067,9,998,5,1116,9,0,0.0,316.22,60.0,0,0,0,0,0,4,76,97,3,3,2,10,2,50,INNER METRO
Moorabbin,3189,Kingston,-37.9403568,145.0576067,1048,8,1035,7,1074,8,1220000,0.0,100.0,60.0,0,0,0,0,0,4,41,67,3,3,2,10,2,50,OUTER GROWTH
Moorooduc,3933,Mornington Peninsula,-38.2501593,145.1265477,1064,8,1076,9,1047,7,0,0.0,111.15,60.0,0,0,0,55,34,4,50,0,3,3,2,10,2,50,OUTER GROWTH
Mooroolbark,3138,Yarra Ranges,-37.7822365,145.3309395,1031,6,1045,8,992,6,860000,1.18,131.08,60.0,0,0,0,34,85,4,21,13,3,3,2,10,2,50,HILLS & RANGES
Mordialloc,3195,Kingston,-37.9995418,145.0940302,1072,9,1043,8,1084,8,1380000,2.99,253.59,91.0,2,1,1,44,58,4,47,64,3,3,2,10,2,50,BAYSIDE
Mornington,3931,Mornington Peninsula,-38.2277083,145.0603633,1020,6,1024,7,987,5,1054800,-4.11,187.39,60.0,0,0,0,59,34,4,34,44,3,3,2,10,2,50,BAYSIDE
Mount Dandenong,3767,,-37.8421584,145.3420015,1079,9,1087,9,1092,9,933000,7.86,0.0,60.0,0,0,0,39,87,4,23,5,3,3,2,10,2,50,HILLS & RANGES
Mount Eliza,3930,Mornington Peninsula,-38.1952209,145.0879338,1104,10,1129,10,1099,9,1580000,-2.47,187.39,60.0,0,0,0,54,36,4,36,33,3,3,2,10,2,50,BAYSIDE
Mount Evelyn,3796,Yarra Ranges,-37.7791563,145.3917982,1051,8,1075,9,992,6,840000,1.06,131.08,60.0,0,0,0,44,93,4,26,16,3,3,2,10,2,50,HILLS & RANGES
Mount Martha,3934,Mornington Peninsula,-38.287039,145.016269,1079,9,1090,10,1060,8,1420000,2.53,187.39,60.0,0,0,0,62,27,4,25,2,3,3,2,10,2,50,BAYSIDE
Mount Waverley,3149,Monash,-37.8772869,145.1265477,1065,9,1045,8,1108,9,1618000,1.13,288.06,60.0,0,0,0,24,69,4,47,86,3,3,2,10,2,50,OUTER GROWTH
Mulgrave,3170,Monash,-37.9267579,145.1762197,1038,7,1036,7,1042,7,1078500,2.71,288.06,60.0,0,0,0,32,66,4,47,38,3,3,2,10,2,50,OUTER GROWTH
Murrumbeena,3163,Glen Eira,-37.8978307,145.070895,1077,9,1021,7,1116,9,1380000,2.5,221.37,60.0,0,0,0,0,0,4,69,63,3,3,2,10,2,50,OUTER GROWTH
Narre Warren,3805,Casey,-38.026173,145.3067451,1068,9,1143,10,1024,7,772500,4.77,227.98,92.0,15,10,1,41,68,4,66,75,3,3,2,10,2,50,HILLS & RANGES
Narre Warren North,3804,Casey,-37.9820135,145.3138892,1068,9,1143,10,1024,7,1557500,-8.38,0.0,60.0,0,0,0,42,70,4,31,32,3,3,2,10,2,50,HILLS & RANGES
Narre Warren South,3805,Casey,-38.0535338,145.3013545,1030,6,1096,10,1000,6,815650,-1.73,227.98,92.0,15,10,1,46,68,4,38,27,3,3,2,10,2,50,HILLS & RANGES
Niddrie,3042,Moonee Valley,-37.7409833,144.8858274,1067,9,1042,8,1064,8,1242000,0.0,100.0,60.0,0,0,0,0,0,4,53,62,3,3,2,10,2,50,INNER METRO
Noble Park,3174,Greater Dandenong,-37.9641212,145.1762197,936,2,969,4,945,4,795000,3.25,410.21,88.0,4,3,1,31,61,4,69,68,3,3,2,10,2,50,OUTER GROWTH
Noble Park North,3174,Greater Dandenong,-37.954525,145.1908285,936,2,969,4,945,4,781000,2.09,410.21,88.0,4,3,1,29,60,4,32,44,3,3,2,10,2,50,OUTER GROWTH
North Melbourne,3051,Melbourne,-37.7983816,144.9419122,981,4,848,1,1139,10,1215000,-12,457.97,60.0,0,0,0,0,0,4,79,85,3,3,2,10,2,50,INNER METRO
North Warrandyte,3113,Nillumbik,-37.7386037,145.2148736,1107,10,1142,10,1100,9,0,0.0,100.0,60.0,0,0,0,0,0,4,42,41,3,3,2,10,2,50,OUTER GROWTH
Northcote,3070,Darebin,-37.7736132,144.9997396,1064,8,1005,6,1146,10,1382000,-5,430.37,60.0,0,0,0,0,0,4,71,95,3,3,2,10,2,50,INNER METRO
Nunawading,3131,Whitehorse,-37.8184273,145.1760206,1041,7,1012,6,1082,8,1128725,-6.79,235.08,60.0,0,0,0,12,73,4,63,90,3,3,2,10,2,50,OUTER GROWTH
Nutfield,3099,Nillumbik,-37.6089145,145.18278,1068,9,1087,9,1034,7,0,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,OUTER GROWTH
Oak Park,3046,Merri-bek,-37.7165119,144.91903,1064,8,1010,6,1084,8,1275000,-1,348.82,60.0,0,0,0,0,0,4,48,74,3,3,2,10,2,50,INNER METRO
Oakleigh,3166,Monash,-37.9016644,145.091857,990,4,1009,6,1000,6,1330500,-1.81,288.06,60.0,0,0,0,37,70,4,79,94,3,3,2,10,2,50,OUTER GROWTH
Oakleigh East,3166,Monash,-37.9077849,145.1168292,994,5,985,4,1025,7,1200000,3.45,288.06,60.0,0,0,0,32,71,4,62,69,3,3,2,10,2,50,OUTER GROWTH
Oakleigh South,3167,Monash,-37.9193474,145.0989646,990,4,1009,6,1000,6,1450000,-2.03,288.06,60.0,0,0,0,39,68,4,39,16,3,3,2,10,2,50,OUTER GROWTH
Officer,3809,Cardinia,-38.0601124,145.4100456,1056,8,1070,9,1022,7,749000,3.67,186.09,87.5,3,1,1,53,76,4,50,25,3,3,2,10,2,50,HILLS & RANGES
Olinda,3788,Yarra Ranges,-37.8532703,145.3751961,1079,9,1087,9,1092,9,947500,-3.07,131.08,60.0,0,0,0,45,92,4,50,29,3,3,2,10,2,50,HILLS & RANGES
Ormond,3204,Glen Eira,-37.9044154,145.0439649,1066,9,994,5,1120,9,1690000,-2,221.37,60.0,0,0,0,0,0,4,51,89,3,3,2,10,2,50,OUTER GROWTH
Pakenham,3810,Cardinia,-38.0776708,145.4818724,979,4,1000,5,945,4,673000,2.75,186.09,91.2,8,6,1,58,80,4,50,87,3,3,2,10,2,50,HILLS & RANGES
