suburb,postcode,lga,latitude,longitude,irsd_score,irsd_decile,ier_score,ier_decile,ieo_score,ieo_decile,medianPrice,growth1yr,crimeRate,schoolRating,schoolCount,primarySchools,secondarySchools,primaryCommuteMinutes,secondaryCommuteMinutes,rentalYield,transitScore,walkScore,parksDensity,childcareCenters,shoppingCenters,cafesRestaurants,medicalCenters,bikeScore,category
Pakenham Upper,3810,Cardinia,-38.0119757,145.5124279,1034,7,1054,8,993,6,0,0.0,115.14,91.2,8,6,1,0,0,4,50,6,3,3,2,10,2,50,HILLS & RANGES
Parkdale,3195,Kingston,-37.9937732,145.0767488,1072,9,1043,8,1084,8,1490000,0.68,253.59,91.0,2,1,1,47,62,4,53,72,3,3,2,10,2,50,BAYSIDE
Pascoe Vale,3044,Merri-bek,-37.7315238,144.9384853,1041,7,991,5,1066,8,1275000,-1,348.82,60.0,0,0,0,0,0,4,49,65,3,3,2,10,2,50,INNER METRO
Pascoe Vale South,3044,Merri-bek,-37.7457735,144.9384576,1069,9,1038,8,1080,8,1275000,-1,348.82,60.0,0,0,0,0,0,4,62,64,3,3,2,10,2,50,INNER METRO
Patterson Lakes,3197,Kingston,-38.0680914,145.1451427,1043,7,1035,7,1027,7,1202500,-11.74,253.59,95.5,2,2,0,39,50,4,34,75,3,3,2,10,2,50,BAYSIDE
Plenty,3090,Nillumbik,-37.670486,145.1099967,1097,10,1124,10,1055,8,0,0.0,130.58,60.0,0,0,0,0,0,4,29,1,3,3,2,10,2,50,OUTER GROWTH
Point Cook,3030,Wyndham,-37.9002643,144.7535495,1051,8,1075,9,1074,8,610000,0.0,213.85,60.0,0,0,0,0,0,4,34,65,3,3,2,10,2,50,OUTER GROWTH
Port Melbourne,3207,Port Phillip,-37.8315264,144.9226452,1052,8,990,5,1138,10,1580000,-4,519.82,60.0,0,0,0,0,0,4,44,55,3,3,2,10,2,50,BAYSIDE
Portsea,3944,Mornington Peninsula,-38.3207377,144.718304,1023,6,1024,6,994,6,3675000,29.86,187.39,60.0,0,0,0,88,16,4,27,11,3,3,2,10,2,50,BAYSIDE
Powelltown,3797,Yarra Ranges,-37.8658155,145.758847,1075,9,1087,10,1068,7,0,0.0,100.0,60.0,0,0,0,0,0,4,50,13,3,3,2,10,2,50,HILLS & RANGES
Prahran,3181,Stonnington,-37.8507947,145.0027616,1076,9,941,2,1154,10,1700000,-1.73,417.37,60.0,0,0,0,40,80,4,78,95,3,3,2,10,2,50,INNER METRO
Preston,3072,Darebin,-37.7399362,145.0107588,995,5,1077,9,1000,6,1382000,-5,430.37,60.0,0,0,0,0,0,4,67,79,3,3,2,10,2,50,INNER METRO
Princes Hill,3054,,-37.7815192,144.9670038,1087,10,969,4,1169,10,0,0.0,100.0,60.0,0,0,0,0,0,4,77,83,3,3,2,10,2,50,INNER METRO
Reefton,3799,Yarra Ranges,-37.6714404,145.8542747,1062,8,1069,9,1059,7,0,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,HILLS & RANGES
Research,3095,Nillumbik,-37.7036462,145.1806162,1107,10,1142,10,1100,9,0,0.0,130.58,60.0,0,0,0,0,0,4,30,50,3,3,2,10,2,50,OUTER GROWTH
Reservoir,3073,Darebin,-37.7118644,145.0107588,974,4,939,2,1014,6,1382000,-5,430.37,60.0,0,0,0,0,0,4,54,76,3,3,2,10,2,50,OUTER GROWTH
Richmond,3121,Yarra,-37.8238936,144.9982667,996,5,996,5,970,5,1397500,1.93,538.29,60.0,0,0,0,28,79,4,94,99,3,3,2,10,2,50,INNER METRO
Ringwood,3134,Maroondah,-37.8145771,145.2310109,1014,6,978,4,1052,8,1025000,0.7,208.37,60.0,0,0,0,15,71,4,64,96,3,3,2,10,2,50,OUTER GROWTH
Ringwood East,3135,Maroondah,-37.8218486,145.2535448,1048,7,1027,7,1067,8,1004000,-3.0,208.37,60.0,0,0,0,22,74,4,40,47,3,3,2,10,2,50,HILLS & RANGES
Ringwood North,3134,Maroondah,-37.795271,145.2352519,1085,9,1095,10,1077,8,1182500,-5.4,208.37,60.0,0,0,0,18,73,4,39,75,3,3,2,10,2,50,OUTER GROWTH
Ripponlea,3185,Port Phillip,-37.8765878,144.9953278,1078,9,978,4,1147,10,0,0.0,519.82,60.0,0,0,0,0,0,4,73,90,3,3,2,10,2,50,INNER METRO
Rockbank,3335,Melton,-37.7341559,144.6668051,1035,7,1076,9,1019,7,0,0.0,224.38,60.0,0,0,0,0,0,4,50,3,3,3,2,10,2,50,OUTER GROWTH
Rosanna,3084,Banyule,-37.7409649,145.0683729,1075,9,1028,7,1112,9,944000,-2,252.91,60.0,0,0,0,0,0,4,51,77,3,3,2,10,2,50,OUTER GROWTH
Rosebud,3939,Mornington Peninsula,-38.3680733,144.9086168,982,4,977,4,947,4,768000,1.05,187.39,60.0,0,0,0,66,13,4,22,23,3,3,2,10,2,50,BAYSIDE
Rowville,3178,Knox,-37.9210442,145.2424941,1054,8,1061,9,1025,7,1088000,-1.54,243.52,60.0,0,0,0,28,65,4,47,67,3,3,2,10,2,50,OUTER GROWTH
Roxburgh Park,3064,Hume,-37.6191629,144.9278395,895,1,988,5,953,4,727500,4,317.21,60.0,0,0,0,0,0,4,36,29,3,3,2,10,2,50,OUTER GROWTH
Rye,3941,Mornington Peninsula,-38.3732839,144.8176554,1023,6,1024,6,994,6,920000,-16.36,187.39,60.0,0,0,0,77,2,4,31,42,3,3,2,10,2,50,BAYSIDE
Safety Beach,3936,Mornington Peninsula,-38.3209972,144.987458,1029,6,1027,7,1000,6,1171250,-1.16,187.39,60.0,0,0,0,63,22,4,30,6,3,3,2,10,2,50,BAYSIDE
Sandhurst,3977,Frankston,-38.080287,145.2101074,1049,8,1082,9,996,6,1055000,4.61,306.42,90.0,21,14,5,41,54,4,26,8,3,3,2,10,2,50,OUTER GROWTH
Sandown Village,3171,Greater Dandenong,-37.9348302,145.1689511,940,3,973,4,975,5,0,0.0,100.0,86.4,5,3,2,0,0,4,42,64,3,3,2,10,2,50,OUTER GROWTH
Sandringham,3191,Bayside,-37.9533967,145.0135139,1094,10,1068,9,1136,10,2100000,5,243.49,60.0,0,0,0,68,75,4,48,67,3,3,2,10,2,50,BAYSIDE
Sassafras,3787,Yarra Ranges,-37.8645935,145.353065,1087,10,1114,10,1028,7,940000,9.3,131.08,60.0,0,0,0,40,86,4,27,42,3,3,2,10,2,50,HILLS & RANGES
Scoresby,3179,Knox,-37.9042587,145.220397,1052,8,1048,8,1038,7,997500,3.42,243.52,60.0,0,0,0,22,64,4,40,23,3,3,2,10,2,50,OUTER GROWTH
Seabrook,3028,Hobsons Bay,-37.8804219,144.7572402,1024,6,1025,7,1001,6,749500,0.0,100.0,60.0,0,0,0,0,0,4,38,57,3,3,2,10,2,50,BAYSIDE
Seaford,3198,Frankston,-38.1021858,145.1431018,997,5,970,4,993,6,840000,-2.18,306.42,87.6,5,3,2,41,48,4,28,36,3,3,2,10,2,50,BAYSIDE
Seddon,3011,Maribyrnong,-37.8066635,144.8917354,1060,8,1008,6,1129,10,915000,-5,489.98,60.0,0,0,0,0,0,4,75,87,3,3,2,10,2,50,INNER METRO
Selby,3159,,-37.9225135,145.3862638,1072,9,1086,9,1057,8,845000,3.66,0.0,60.0,0,0,0,46,80,4,14,0,3,3,2,10,2,50,HILLS & RANGES
Seville,3139,,-37.7772227,145.4608882,1109,10,1105,10,1184,10,0,0.0,100.0,60.0,0,0,0,0,0,4,50,40,3,3,2,10,2,50,HILLS & RANGES
Seville East,3139,,-37.7731236,145.4987891,1070,9,1082,9,1062,7,0,0.0,100.0,60.0,0,0,0,0,0,4,50,10,3,3,2,10,2,50,HILLS & RANGES
Silvan,3795,Yarra Ranges,-37.8322654,145.4290936,1051,8,1065,9,1010,6,0,0.0,0.0,60.0,0,0,0,48,96,4,50,3,3,3,2,10,2,50,HILLS & RANGES
Skye,3977,Frankston,-38.1175378,145.1968162,1049,8,1082,9,996,6,795500,1.14,306.42,90.0,21,14,5,46,49,4,29,53,3,3,2,10,2,50,OUTER GROWTH
Sorrento,3943,Mornington Peninsula,-38.3477833,144.746696,1104,10,1119,10,1088,9,1750000,-16.67,187.39,60.0,0,0,0,84,12,4,30,27,3,3,2,10,2,50,BAYSIDE
South Kingsville,3015,Hobsons Bay,-37.8310243,144.8695973,1051,8,1002,5,1107,9,1025000,-7,274.49,60.0,0,0,0,0,0,4,42,72,3,3,2,10,2,50,INNER METRO
South Melbourne,3205,Port Phillip,-37.8343443,144.9559035,1029,6,931,2,1146,10,1580000,-4,519.82,60.0,0,0,0,0,0,4,81,98,3,3,2,10,2,50,INNER METRO
South Morang,3752,Whittlesea,-37.6377485,145.082419,1051,8,1079,9,1008,6,691000,-3,231.53,60.0,0,0,0,0,0,4,44,16,3,3,2,10,2,50,OUTER GROWTH
South Yarra,3141,Stonnington,-37.838568,144.9914761,1103,10,961,3,1185,10,1875000,-14.77,417.37,60.0,0,0,0,33,82,4,94,100,3,3,2,10,2,50,INNER METRO
Southbank,3006,Melbourne,-37.82384,144.9624973,1055,8,891,1,1154,10,1050000,5.2,457.97,60.0,0,0,0,33,85,4,100,98,3,3,2,10,2,50,INNER METRO
Spotswood,3015,Hobsons Bay,-37.8298089,144.8863391,1066,8,1017,6,1124,10,1025000,-7,274.49,60.0,0,0,0,0,0,4,56,67,3,3,2,10,2,50,INNER METRO
Springvale,3171,Greater Dandenong,-37.9473307,145.1541397,845,1,914,2,937,3,905000,5.85,410.21,86.4,5,3,2,36,67,4,71,88,3,3,2,10,2,50,OUTER GROWTH
Springvale South,3172,Greater Dandenong,-37.9709927,145.1485377,831,1,943,2,900,2,843000,2.8,410.21,91.8,5,5,0,37,59,4,41,60,3,3,2,10,2,50,OUTER GROWTH
St Albans,3021,Brimbank,-37.7435941,144.8016402,1037,7,1071,9,992,6,595000,-1,344.52,60.0,0,0,0,0,0,4,54,90,3,3,2,10,2,50,OUTER GROWTH
St Kilda,3182,Port Phillip,-37.864,144.982,1066,9,941,2,1144,10,1550000,5.08,519.82,60.0,0,0,0,43,85,4,81,96,3,3,2,10,2,50,BAYSIDE
St Kilda East,3183,Port Phillip,-37.8668061,145.0027144,1066,9,941,2,1144,10,1500000,-4,519.82,60.0,0,0,0,49,83,4,74,73,3,3,2,10,2,50,INNER METRO
Strathmore,3041,Moonee Valley,-37.7342495,144.9187635,1089,10,1081,9,1088,9,1242000,0.0,316.22,60.0,0,0,0,0,0,4,50,85,3,3,2,10,2,50,INNER METRO
Strathmore Heights,3041,Moonee Valley,-37.7130105,144.8969949,994,5,989,5,994,6,727500,4,316.22,60.0,0,0,0,0,0,4,56,32,3,3,2,10,2,50,OUTER GROWTH
Sunshine,3020,Brimbank,-37.7812629,144.8327296,931,2,924,2,985,5,765000,-8,344.52,60.0,0,0,0,0,0,4,70,88,3,3,2,10,2,50,OUTER GROWTH
Sunshine North,3020,Brimbank,-37.7642525,144.8310751,865,1,927,2,932,3,712000,-10,344.52,60.0,0,0,0,0,0,4,40,64,3,3,2,10,2,50,OUTER GROWTH
Sunshine West,3020,Brimbank,-37.7946685,144.818759,884,1,939,2,922,3,712000,-10,344.52,60.0,0,0,0,0,0,4,54,70,3,3,2,10,2,50,OUTER GROWTH
Surrey Hills,3127,Boroondara,-37.8259381,145.0972417,1103,10,1085,9,1159,10,2300000,-2.25,241.83,60.0,0,0,0,16,79,4,62,81,3,3,2,10,2,50,INNER METRO
Sydenham,3037,Brimbank,-37.7014845,144.7644401,983,4,995,5,966,5,741500,6,344.52,60.0,0,0,0,0,0,4,54,43,3,3,2,10,2,50,OUTER GROWTH
Tarneit,3029,Wyndham,-37.8362006,144.6722205,1025,6,1052,8,1027,7,653500,1,213.85,60.0,0,0,0,0,0,4,36,53,3,3,2,10,2,50,OUTER GROWTH
Taylor Lakes,3038,Brimbank,-37.6973477,144.7811982,972,4,1011,6,955,4,0,0.0,100.0,60.0,0,0,0,0,0,4,56,87,3,3,2,10,2,50,OUTER GROWTH
Taylors Hill,3037,Melton,-37.7134968,144.7555173,1034,7,1079,9,1000,6,906500,0.0,100.0,60.0,0,0,0,0,0,4,35,30,3,3,2,10,2,50,OUTER GROWTH
Tecoma,3160,Yarra Ranges,-37.9066054,145.3439874,1071,9,1069,9,1053,8,855000,1.42,131.08,60.0,0,0,0,36,77,4,45,64,3,3,2,10,2,50,HILLS & RANGES
Templestowe,3106,Manningham,-37.7537669,145.1486206,1074,9,1094,10,1087,9,1630000,-2.98,147.03,60.0,0,0,0,10,82,4,41,20,3,3,2,10,2,50,OUTER GROWTH
Templestowe Lower,3107,Manningham,-37.7641408,145.1099967,1055,8,1058,8,1079,8,1327500,-4.84,147.03,60.0,0,0,0,8,82,4,46,41,3,3,2,10,2,50,OUTER GROWTH
The Basin,3154,Knox,-37.8554394,145.3154872,1056,8,1064,9,1008,6,867500,0.75,243.52,60.0,0,0,0,30,80,4,26,41,3,3,2,10,2,50,HILLS & RANGES
Thomastown,3074,Whittlesea,-37.6837819,145.0107588,885,1,935,2,914,2,691000,-3,231.53,60.0,0,0,0,0,0,4,53,67,3,3,2,10,2,50,OUTER GROWTH
Thornbury,3071,Darebin,-37.7600493,145.0080039,1048,7,974,4,1117,9,1382000,-5,430.37,60.0,0,0,0,0,0,4,62,72,3,3,2,10,2,50,INNER METRO
Three Bridges,3797,Yarra Ranges,-37.8453686,145.6855685,1075,9,1087,10,1068,7,0,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,HILLS & RANGES
Toolangi,3777,Murrindindi,-37.5286609,145.5191965,1030,6,1040,8,983,5,0,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,HILLS & RANGES
Toorak,3142,Stonnington,-37.8432402,145.0190242,1104,10,1035,7,1177,10,5225000,-14.34,417.37,60.0,0,0,0,38,78,4,69,55,3,3,2,10,2,50,INNER METRO
Tottenham,3012,Maribyrnong,-37.8100003,144.8586828,1016,6,963,3,1078,8,0,0.0,489.98,60.0,0,0,0,0,0,4,40,41,3,3,2,10,2,50,INNER METRO
Travancore,3032,Moonee Valley,-37.7792935,144.9363143,1005,6,937,3,1102,9,0,0.0,316.22,60.0,0,0,0,0,0,4,66,76,3,3,2,10,2,50,INNER METRO
Truganina,3029,Wyndham,-37.8282806,144.7082568,1040,7,1072,9,1040,7,647000,-1,213.85,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,OUTER GROWTH
Tullamarine,3043,Hume,-37.7044206,144.8786231,969,3,959,3,943,4,720000,-5,317.21,60.0,0,0,0,0,0,4,44,67,3,3,2,10,2,50,OUTER GROWTH
Upper Ferntree Gully,3156,Knox,-37.8954903,145.3092363,1052,8,1046,8,1035,7,912500,7.04,0.0,60.0,0,0,0,31,77,4,52,64,3,3,2,10,2,50,HILLS & RANGES
Upwey,3158,Yarra Ranges,-37.9039829,145.3309395,1071,9,1069,9,1053,8,855250,-7.04,131.08,60.0,0,0,0,36,78,4,44,68,3,3,2,10,2,50,HILLS & RANGES
Vermont,3133,Whitehorse,-37.8359978,145.1954531,1063,8,1054,8,1084,8,1300000,4.0,235.08,60.0,0,0,0,17,68,4,39,73,3,3,2,10,2,50,OUTER GROWTH
Vermont South,3133,Whitehorse,-37.856512,145.1836152,1060,8,1073,9,1074,8,1477500,-3.21,235.08,60.0,0,0,0,19,68,4,57,80,3,3,2,10,2,50,OUTER GROWTH
Viewbank,3084,Banyule,-37.7397321,145.0915563,1066,9,1042,8,1081,8,1195000,-2,252.91,60.0,0,0,0,0,0,4,32,19,3,3,2,10,2,50,OUTER GROWTH
Wandin East,3139,Yarra Ranges,-37.8163065,145.4584388,1070,9,1078,9,1068,7,0,0.0,100.0,60.0,0,0,0,0,0,4,50,1,3,3,2,10,2,50,HILLS & RANGES
Wandin North,3139,Yarra Ranges,-37.7814219,145.4315015,1070,9,1082,9,1062,7,773000,-4,100.0,60.0,0,0,0,0,0,4,24,50,3,3,2,10,2,50,HILLS & RANGES
Wantirna,3152,Knox,-37.8479567,145.2289289,1045,7,1055,8,1044,7,1150000,4.93,243.52,60.0,0,0,0,16,66,4,38,78,3,3,2,10,2,50,OUTER GROWTH
Wantirna South,3152,Knox,-37.8769518,145.2329617,1046,7,1046,8,1043,7,1237000,-3.51,243.52,60.0,0,0,0,20,65,4,49,59,3,3,2,10,2,50,OUTER GROWTH
Warburton,3799,Yarra Ranges,-37.7530064,145.6987403,1062,8,1069,9,1059,7,655000,3.97,73.44,60.0,0,0,0,0,0,4,50,42,3,3,2,10,2,50,HILLS & RANGES
Warrandyte,3113,Manningham,-37.7386037,145.2148736,1107,10,1142,10,1100,9,1262000,-3,147.03,60.0,0,0,0,0,0,4,42,41,3,3,2,10,2,50,HILLS & RANGES
Warrandyte South,3134,Manningham,-37.7611439,145.2523502,1090,9,1110,10,1073,8,0,0.0,100.0,60.0,0,0,0,0,0,4,50,4,3,3,2,10,2,50,HILLS & RANGES
Waterways,3195,Kingston,-38.0159002,145.1298535,1080,9,1108,10,1054,8,1690000,6,253.59,91.0,2,1,1,0,0,4,36,10,3,3,2,10,2,50,OUTER GROWTH
Watsonia,3087,Banyule,-37.7019248,145.0851764,1046,7,1019,7,1041,7,875500,-4,252.91,60.0,0,0,0,0,0,4,47,70,3,3,2,10,2,50,OUTER GROWTH
Watsonia North,3087,Banyule,-37.7019248,145.0851764,1047,7,1028,7,1040,7,930000,4,252.91,60.0,0,0,0,0,0,4,47,70,3,3,2,10,2,50,OUTER GROWTH
Werribee,3030,Wyndham,-37.8997197,144.6642029,1005,5,1001,5,1000,6,610000,0.0,213.85,60.0,0,0,0,0,0,4,61,83,3,3,2,10,2,50,OUTER GROWTH
Werribee South,3030,Wyndham,-37.9446946,144.689209,1012,6,1027,7,1022,7,930000,6,213.85,60.0,0,0,0,0,0,4,50,16,3,3,2,10,2,50,OUTER GROWTH
West Footscray,3012,Maribyrnong,-37.8006709,144.8716645,1016,6,963,3,1078,8,915000,-5,489.98,60.0,0,0,0,0,0,4,53,41,3,3,2,10,2,50,INNER METRO
West Melbourne,3003,Melbourne,-37.8067802,144.9253974,1046,7,882,1,1150,10,1215000,-12,457.97,60.0,0,0,0,0,0,4,60,18,3,3,2,10,2,50,INNER METRO
Westmeadows,3049,Hume,-37.6707522,144.8896264,979,4,1001,5,953,4,727500,4,317.21,60.0,0,0,0,0,0,4,39,42,3,3,2,10,2,50,OUTER GROWTH
Wheelers Hill,3150,Monash,-37.9067871,145.1890123,1066,9,1076,9,1077,8,1450000,-2.03,288.06,60.0,0,0,0,21,65,4,39,73,3,3,2,10,2,50,OUTER GROWTH
Whittlesea,3757,Whittlesea,-37.5141982,145.1147772,1031,6,1060,8,975,5,760000,3,100.0,60.0,0,0,0,0,0,4,50,72,3,3,2,10,2,50,OUTER GROWTH
Williams Landing,3027,Wyndham,-37.8614859,144.7439497,1000,5,998,5,999,6,799500,1,213.85,60.0,0,0,0,0,0,4,51,17,3,3,2,10,2,50,OUTER GROWTH
Williamstown,3016,Hobsons Bay,-37.8571449,144.8813738,1067,9,1040,8,1113,9,1580000,-4,274.49,60.0,0,0,0,0,0,4,44,72,3,3,2,10,2,50,BAYSIDE
Williamstown North,3016,Hobsons Bay,-37.851972,144.8628571,1025,6,1003,6,1059,8,1275000,25,274.49,60.0,0,0,0,0,0,4,33,53,3,3,2,10,2,50,INNER METRO
Windsor,3181,Stonnington,-37.8544481,144.996985,1078,9,986,5,1125,9,1400000,-7.74,417.37,60.0,0,0,0,43,86,4,80,97,3,3,2,10,2,50,INNER METRO
Wollert,3750,Whittlesea,-37.5891893,144.9942305,1002,5,1051,8,1012,6,705000,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,OUTER GROWTH
Wonga Park,3115,Manningham,-37.7347069,145.2590707,1100,10,1140,10,1083,8,1265000,-11,147.03,60.0,0,0,0,0,0,4,50,5,3,3,2,10,2,50,HILLS & RANGES
Woori Yallock,3139,,-37.7800363,145.5303459,1070,9,1082,9,1062,7,0,0.0,100.0,60.0,0,0,0,0,0,4,50,40,3,3,2,10,2,50,HILLS & RANGES
Wyndham Vale,3024,Wyndham,-37.8892516,144.6213448,980,4,1004,6,993,6,580000,0.0,213.85,60.0,0,0,0,0,0,4,38,55,3,3,2,10,2,50,OUTER GROWTH
Yallambie,3085,Banyule,-37.7222123,145.1037659,1066,9,1042,8,1081,8,942000,-8,100.0,60.0,0,0,0,0,0,4,42,28,3,3,2,10,2,50,OUTER GROWTH
Yan Yean,3755,Whittlesea,-37.5474779,145.1486206,1050,8,1072,9,1011,6,0,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,OUTER GROWTH
Yarra Glen,3775,Yarra Ranges,-37.6571292,145.3745877,1027,6,1038,8,982,5,900000,8.11,131.08,60.0,0,0,0,44,100,4,50,50,3,3,2,10,2,50,HILLS & RANGES
Yarra Junction,3797,Yarra Ranges,-37.7815665,145.6141514,1070,9,1078,9,1068,7,749000,1.9,73.44,60.0,0,0,0,0,0,4,50,49,3,3,2,10,2,50,HILLS & RANGES
Yarraville,3013,Maribyrnong,-37.819811,144.8813738,1077,9,1035,7,1115,9,1100000,-9,489.98,60.0,0,0,0,0,0,4,56,81,3,3,2,10,2,50,INNER METRO
Yering,3770,Yarra Ranges,-37.6952087,145.3460379,1041,7,1052,8,994,5,0,0.0,100.0,60.0,0,0,0,0,0,4,50,9,3,3,2,10,2,50,HILLS & RANGES
Chadstone,3148,Monash,-37.8831621,145.0958766,1066,9,1076,9,1077,8,1450000,-2.03,288.06,60.0,0,0,0,21,65,4,39,73,3,3,2,10,2,50,OUTER GROWTH
Clifton Springs,3222,Greater Geelong,-38.1478022,144.5699169,1082,9,983,4,1144,10,915000,-3,186.09,60.0,0,0,0,50,75,4,61,76,3,3,2,10,2,50,OUTER GROWTH
Crib Point,3919,Mornington Peninsula,-38.3488408,145.2061518,1042,7,1042,8,1013,6,850000,2,100.0,60.0,0,0,0,0,0,4,27,36,3,3,2,10,2,50,OUTER GROWTH
Dingley Village,3172,Kingston,-37.9709927,145.1485377,831,1,943,2,900,2,843000,2.8,410.21,91.8,5,5,0,37,59,4,41,60,3,3,2,10,2,50,OUTER GROWTH
Eaglemont,3084,Banyule,-37.7634944,145.0694197,791,1,902,1,886,1,944000,-2,252.91,60.0,0,0,0,0,0,4,50,75,3,3,2,10,2,50,INNER METRO
East Melbourne,3002,Melbourne,-37.818389,144.9894441,962,3,773,1,1143,10,1380000,-2.51,457.97,60.0,0,0,0,24,89,4,100,99,3,3,2,10,2,50,INNER METRO
Glen Iris,3146,Boroondara,-37.8584095,145.0758766,1097,10,1068,9,1156,10,2600000,-2.4,241.83,60.0,0,0,0,23,78,4,70,69,3,3,2,10,2,50,INNER METRO
Hampton East,3188,Bayside,-37.9279439,145.0090242,1090,10,1093,10,1138,10,2425000,5,243.49,60.0,0,0,0,56,73,4,50,57,3,3,2,10,2,50,BAYSIDE
Heatherton,3202,Kingston,-37.9654328,145.0970029,1043,7,999,5,1047,8,1117000,-3.1,253.59,91.0,2,1,1,41,55,4,34,46,3,3,2,10,2,50,OUTER GROWTH
Heathmont,3135,Maroondah,-37.8359978,145.2454531,1063,8,1054,8,1084,8,1300000,4.0,235.08,60.0,0,0,0,17,68,4,39,73,3,3,2,10,2,50,OUTER GROWTH
Hillside,3037,Melton,-37.6834968,144.7455173,1034,7,1079,9,1000,6,867000,0,100.0,60.0,0,0,0,0,0,4,35,30,3,3,2,10,2,50,OUTER GROWTH
Hmas Cerberus,3920,Mornington Peninsula,-38.3687875,144.7712835,1023,6,1024,6,994,6,1375000,-8.33,187.39,60.0,0,0,0,80,7,4,26,16,3,3,2,10,2,50,OUTER GROWTH
Houghton,3137,Maroondah,-37.7951151,145.2879338,1075,9,1078,9,1127,9,1122500,0,241.83,60.0,0,0,0,11,79,4,54,66,3,3,2,10,2,50,HILLS & RANGES
MacLeod,3085,Banyule,-37.7219248,145.0751764,1046,7,1019,7,1041,7,875500,-4,252.91,60.0,0,0,0,0,0,4,47,70,3,3,2,10,2,50,OUTER GROWTH
Merrifield,3060,Hume,-37.665113,144.955677,791,1,902,1,886,1,560000,-7,100.0,60.0,0,0,0,0,0,4,42,36,3,3,2,10,2,50,OUTER GROWTH
Mildura,3500,Mildura,-34.1850000,142.1583333,950,3,950,3,950,3,375000,-1,100.0,60.0,0,0,0,0,0,4,50,50,3,3,2,10,2,50,OUTER GROWTH
Montmorency,3094,Banyule,-37.7119248,145.1251764,1046,7,1019,7,1041,7,875500,-4,252.91,60.0,0,0,0,0,0,4,47,70,3,3,2,10,2,50,OUTER GROWTH
Newport,3015,Hobsons Bay,-37.8410243,144.8795973,1051,8,1002,5,1107,9,1025000,-7,274.49,60.0,0,0,0,0,0,4,42,72,3,3,2,10,2,50,BAYSIDE
Notting Hill,3168,Monash,-37.9074873,145.1458766,1067,9,1051,8,1097,9,1430000,-4.2,288.06,60.0,0,0,0,0,0,4,47,60,3,3,2,10,2,50,OUTER GROWTH
Officer South,3809,Cardinia,-38.0775378,145.4168162,1049,8,1082,9,996,6,729900,0,306.42,90.0,21,14,5,46,49,4,29,53,3,3,2,10,2,50,HILLS & RANGES
Park Orchards,3114,Manningham,-37.7680476,145.2179338,1047,7,1037,7,1061,8,1318000,-2.37,147.03,60.0,0,0,0,10,83,4,42,79,3,3,2,10,2,50,OUTER GROWTH
Rippleside,3215,Greater Geelong,-38.1378022,144.5599169,1082,9,983,4,1144,10,915000,-3,186.09,60.0,0,0,0,50,75,4,61,76,3,3,2,10,2,50,OUTER GROWTH
